node_number,X,Y,Z,amplitude,mean,gas_load,inertia_load
1,-75.34053341,-89.78735136,-31.90055641,88.14880149,-62.92701721,15400000,1000
2,-74.67338424,-88.99227394,-34.34666033,61.4977252,-43.90154321,15400000,1000
3,-86.5,0.0,-39.6,86.23955433,61.56405818,15400000,1000
4,-85.93617011,9.860256956,-39.6,81.06552297,57.87045828,15400000,1000
5,-84.25203082,19.59197038,-39.6,73.62072271,52.5558193,15400000,1000
6,-81.46953745,29.06827251,-39.6,65.98907696,47.10779625,15400000,1000
7,-77.62496408,38.16562526,-39.6,57.79555231,41.25866311,15400000,1000
8,-72.76843059,46.76543071,-39.6,44.35016988,31.66037255,15400000,1000
9,-66.96324932,54.75557725,-39.6,27.41205792,19.56871801,15400000,1000
10,-60.28509969,62.03190111,-39.6,25.64504658,-18.30729696,15400000,1000
11,-52.82104159,68.49954427,-39.6,51.74357778,-36.93832436,15400000,1000
12,-44.66838043,74.07419112,-39.6,75.27666424,-53.73795039,15400000,1000
13,-35.93339862,78.6831676,-39.6,94.62168339,-67.54783051,15400000,1000
14,-26.72997001,82.26638866,-39.6,110.4294506,-78.83256341,15400000,1000
15,-17.17807536,84.77714153,-39.6,122.6246932,-87.53841252,15400000,1000
16,-7.402238233,86.18269472,-39.6,127.3657928,-90.92295334,15400000,1000
17,2.470098394,86.46472468,-39.6,122.84774,-87.69764037,15400000,1000
18,12.31023351,85.61955472,-39.6,112.7575109,-80.49450148,15400000,1000
19,21.98988591,83.65820293,-39.6,102.0093335,-72.82167212,15400000,1000
20,31.38286651,80.60623853,-39.6,84.92260828,-60.62392633,15400000,1000
21,40.36672346,76.50344853,-39.6,54.35591842,-38.80320276,15400000,1000
22,48.82433843,71.40331909,-39.6,23.69289948,-16.9137127,15400000,1000
23,56.64545349,65.37233818,-39.6,10.73681744,7.664720189,15400000,1000
24,63.72810843,58.48912887,-39.6,35.52143738,25.35778219,15400000,1000
25,69.97997001,50.84342432,-39.6,56.72611154,40.49521875,15400000,1000
26,75.31953567,42.53489798,-39.6,63.23007544,45.13822056,15400000,1000
27,79.67719599,33.6718642,-39.6,61.98437211,44.24894732,15400000,1000
28,82.99614222,24.36986617,-39.6,53.86816543,38.45500927,15400000,1000
29,85.2331068,14.75016966,-39.6,43.63194238,31.14764985,15400000,1000
30,86.35892749,4.93818214,-39.6,35.81702095,25.56879136,15400000,1000
31,86.35892749,-4.93818214,-39.6,31.77779692,22.68529954,15400000,1000
32,85.2331068,-14.75016966,-39.6,32.60956213,23.27907416,15400000,1000
33,82.99614222,-24.36986617,-39.6,36.71823386,26.21214242,15400000,1000
34,79.67719599,-33.6718642,-39.6,40.12965917,28.64746563,15400000,1000
35,75.31953567,-42.53489798,-39.6,36.89017267,26.3348848,15400000,1000
36,69.97997001,-50.84342432,-39.6,24.89707034,17.77333719,15400000,1000
37,63.72810843,-58.48912887,-39.6,6.466597668,4.616327132,15400000,1000
38,56.64545349,-65.37233818,-39.6,21.73469351,-15.51580289,15400000,1000
39,48.82433843,-71.40331909,-39.6,38.47395369,-27.46550241,15400000,1000
40,40.36672346,-76.50344853,-39.6,49.48193576,-35.3237998,15400000,1000
41,31.38286651,-80.60623853,-39.6,56.34463158,-40.22289061,15400000,1000
42,21.98988591,-83.65820293,-39.6,63.98146152,-45.67461462,15400000,1000
43,12.31023351,-85.61955472,-39.6,75.58425892,-53.95753387,15400000,1000
44,2.470098394,-86.46472468,-39.6,92.71028266,-66.18333365,15400000,1000
45,-7.402238233,-86.18269472,-39.6,113.6923194,-81.16183555,15400000,1000
46,-17.17807536,-84.77714153,-39.6,136.9615072,-97.77307184,15400000,1000
47,-26.72997001,-82.26638866,-39.6,152.6593057,-108.9793013,15400000,1000
48,-35.93339862,-78.6831676,-39.6,149.3211077,-106.5962529,15400000,1000
49,-44.66838043,-74.07419112,-39.6,128.0823108,-91.43445667,15400000,1000
50,-52.82104159,-68.49954427,-39.6,83.38505631,-59.52631005,15400000,1000
51,-60.28509969,-62.03190111,-39.6,31.24263035,-22.30325881,15400000,1000
52,-66.96324932,-54.75557725,-39.6,32.68198576,23.33077525,15400000,1000
53,-72.76843059,-46.76543071,-39.6,65.0743426,46.45479252,15400000,1000
54,-77.62496408,-38.16562526,-39.6,89.38245765,63.80769121,15400000,1000
55,-81.46953745,-29.06827251,-39.6,85.70571292,61.18296337,15400000,1000
56,-84.25203082,-19.59197038,-39.6,84.95357977,60.64603617,15400000,1000
57,-85.93617011,-9.860256956,-39.6,87.02941053,62.12791452,15400000,1000
58,-86.5,0.0,-4.0,180.9317873,129.1622524,15400000,1000
59,-86.5,0.0,-12.9,93.69331641,66.88509465,15400000,1000
60,-86.5,0.0,-21.8,96.0443267,68.56341638,15400000,1000
61,-86.5,0.0,-30.7,92.86289212,66.29227783,15400000,1000
62,-86.5,3.67e-16,4.0,185.4057338,132.3560787,15400000,1000
63,-86.45374696,-2.828203017,2.828207758,114.81716,81.96482858,15400000,1000
64,-86.407495,-3.999671989,-2.01e-05,33.48429775,-23.90352405,15400000,1000
65,-86.45374528,-2.828414115,-2.828438748,136.207363,97.23470813,15400000,1000
66,-86.5,0.0,39.6,81.53849706,58.20810195,15400000,1000
67,-86.5,9.18e-17,30.7,89.53236811,63.91470767,15400000,1000
68,-86.5,1.84e-16,21.8,93.76453398,66.93593479,15400000,1000
69,-86.5,2.76e-16,12.9,94.73657472,67.62984815,15400000,1000
70,-85.93617011,9.860256956,39.6,77.2587698,55.15292174,15400000,1000
71,-84.25203082,19.59197038,39.6,69.4460322,49.57562204,15400000,1000
72,-81.46953745,29.06827251,39.6,62.09029866,44.32456538,15400000,1000
73,-77.62496408,38.16562526,39.6,56.2586043,40.16147802,15400000,1000
74,-72.76843059,46.76543071,39.6,46.71903778,33.35144267,15400000,1000
75,-66.96324932,54.75557725,39.6,31.70771691,22.63527143,15400000,1000
76,-60.28509969,62.03190111,39.6,27.73205361,-19.79715414,15400000,1000
77,-52.82104159,68.49954427,39.6,47.7911963,-34.11682706,15400000,1000
78,-44.66838043,74.07419112,39.6,69.88319166,-49.88769831,15400000,1000
79,-35.93339862,78.6831676,39.6,85.49032531,-61.02920394,15400000,1000
80,-26.72997001,82.26638866,39.6,98.94494834,-70.63409115,15400000,1000
81,-17.17807536,84.77714153,39.6,111.0785489,-79.29593606,15400000,1000
82,-7.402238233,86.18269472,39.6,116.7424004,-83.33920463,15400000,1000
83,2.470098394,86.46472468,39.6,112.0802234,-80.01100467,15400000,1000
84,12.31023351,85.61955472,39.6,100.3351302,-71.62650391,15400000,1000
85,21.98988591,83.65820293,39.6,87.89957059,-62.74909835,15400000,1000
86,31.38286651,80.60623853,39.6,70.62871416,-50.41990641,15400000,1000
87,40.36672346,76.50344853,39.6,47.10600993,-33.6276914,15400000,1000
88,48.82433843,71.40331909,39.6,19.16829176,-13.68371895,15400000,1000
89,56.64545349,65.37233818,39.6,23.39977224,16.70445709,15400000,1000
90,63.72810843,58.48912887,39.6,49.60219673,35.40965084,15400000,1000
91,69.97997001,50.84342432,39.6,66.70055225,47.61569895,15400000,1000
92,75.31953567,42.53489798,39.6,70.17077735,50.09299795,15400000,1000
93,79.67719599,33.6718642,39.6,65.31047334,46.62335973,15400000,1000
94,82.99614222,24.36986617,39.6,55.71044953,39.77016548,15400000,1000
95,85.2331068,14.75016966,39.6,45.46925365,32.45925595,15400000,1000
96,86.35892749,4.93818214,39.6,37.56894673,26.8194431,15400000,1000
97,86.35892749,-4.93818214,39.6,33.55347539,23.95290781,15400000,1000
98,85.2331068,-14.75016966,39.6,34.60392061,24.70279189,15400000,1000
99,82.99614222,-24.36986617,39.6,39.11514285,27.9232301,15400000,1000
100,79.67719599,-33.6718642,39.6,43.07982144,30.75350571,15400000,1000
101,75.31953567,-42.53489798,39.6,41.4186914,29.56767064,15400000,1000
102,69.97997001,-50.84342432,39.6,29.99900493,21.41546865,15400000,1000
103,63.72810843,-58.48912887,39.6,11.09739884,7.922129398,15400000,1000
104,56.64545349,-65.37233818,39.6,12.02281779,-8.582760615,15400000,1000
105,48.82433843,-71.40331909,39.6,29.55768542,-21.10042284,15400000,1000
106,40.36672346,-76.50344853,39.6,39.81198608,-28.42068747,15400000,1000
107,31.38286651,-80.60623853,39.6,47.31407697,-33.77622501,15400000,1000
108,21.98988591,-83.65820293,39.6,54.65695906,-39.01810741,15400000,1000
109,12.31023351,-85.61955472,39.6,65.85080249,-47.00908611,15400000,1000
110,2.470098394,-86.46472468,39.6,82.00010607,-58.53763182,15400000,1000
111,-7.402238233,-86.18269472,39.6,101.7545152,-72.63976388,15400000,1000
112,-17.17807536,-84.77714153,39.6,121.9098149,-87.02808044,15400000,1000
113,-26.72997001,-82.26638866,39.6,139.2470393,-99.40465081,15400000,1000
114,-35.93339862,-78.6831676,39.6,140.8076279,-100.5187125,15400000,1000
115,-44.66838043,-74.07419112,39.6,121.3463677,-86.62585126,15400000,1000
116,-52.82104159,-68.49954427,39.6,77.92717916,-55.63008091,15400000,1000
117,-60.28509969,-62.03190111,39.6,38.23975942,-27.29831788,15400000,1000
118,-66.96324932,-54.75557725,39.6,44.80261401,31.98336018,15400000,1000
119,-72.76843059,-46.76543071,39.6,70.71912643,50.48444918,15400000,1000
120,-77.62496408,-38.16562526,39.6,84.18942981,60.10052995,15400000,1000
121,-81.46953745,-29.06827251,39.6,83.05710987,59.29219776,15400000,1000
122,-84.25203082,-19.59197038,39.6,82.83790627,59.13571446,15400000,1000
123,-85.93617011,-9.860256956,39.6,83.71203645,59.75973199,15400000,1000
124,-86.45374696,2.828203017,-2.828207758,107.3261597,76.61720841,15400000,1000
125,-86.407495,3.999671989,2.01e-05,33.38139149,23.83006204,15400000,1000
126,-86.45374528,2.828414115,2.828438748,133.1829123,95.07563728,15400000,1000
127,-94.42592917,-61.75122491,-39.6,71.06865334,-50.73396687,15400000,1000
128,53.14604905,-185.5788174,-39.6,1.114836192,-0.795851054,15400000,1000
129,-87.04733026,-67.94260453,-39.6,87.56160938,-62.50783696,15400000,1000
130,-79.66873135,-74.13398416,-39.6,90.77373868,-64.80088803,15400000,1000
131,-72.29013243,-80.32536378,-39.6,93.73737381,-66.91654603,15400000,1000
132,-64.91153352,-86.51674341,-39.6,91.17117172,65.08460474,15400000,1000
133,-57.53293461,-92.70812303,-39.6,70.46374279,50.30213762,15400000,1000
134,-50.1543357,-98.89950266,-39.6,46.37723884,33.10744176,15400000,1000
135,-42.77573679,-105.0908823,-39.6,30.14715502,21.52122892,15400000,1000
136,-35.39713788,-111.2822619,-39.6,24.04298293,17.16362761,15400000,1000
137,-28.01853897,-117.4736415,-39.6,25.63320007,18.29884005,15400000,1000
138,-20.63994006,-123.6650212,-39.6,25.96138645,18.53312339,15400000,1000
139,-13.26134115,-129.8564008,-39.6,25.46203044,18.17664684,15400000,1000
140,-5.882742236,-136.0477804,-39.6,24.07490827,17.18641821,15400000,1000
141,1.495856676,-142.23916,-39.6,21.0986267,15.06173226,15400000,1000
142,8.874455587,-148.4305397,-39.6,18.80493595,13.42432921,15400000,1000
143,16.2530545,-154.6219193,-39.6,14.5340665,10.37547232,15400000,1000
144,23.63165341,-160.8132989,-39.6,10.80633393,7.714346067,15400000,1000
145,31.01025232,-167.0046785,-39.6,8.143078012,-5.813120558,15400000,1000
146,38.38885123,-173.1960582,-39.6,5.08693034,-3.631420378,15400000,1000
147,45.76745014,-179.3874378,-39.6,2.22418534,-1.587785049,15400000,1000
148,-108.0,-32.64153607,-39.6,14.18574251,-10.12681336,15400000,1000
149,-107.0992483,-40.8662414,-39.6,21.82556651,-15.58067469,15400000,1000
150,-104.4396959,-48.70103002,-39.6,37.10616974,-26.48907918,15400000,1000
151,-100.1474269,-55.77447037,-39.6,54.55075977,-38.94229451,15400000,1000
152,-108.0,25.79859695,-39.6,13.15825882,9.39332092,15400000,1000
153,-108.0,16.05857478,-39.6,10.97729149,7.836388025,15400000,1000
154,-108.0,6.318552611,-39.6,6.824348168,4.871715385,15400000,1000
155,-108.0,-3.42146956,-39.6,1.84433048,-1.31661706,15400000,1000
156,-108.0,-13.16149173,-39.6,5.052692306,-3.606978772,15400000,1000
